"Tempratuur afgerond op hele normale aantallen KNMI";"Tempratuur in de Kas";"outside Luchtvochtigheid - % - 1 uur";"Plant Straling Par";"prediction(Tempratuur in de Kas)"
8.9;22.1;93;286;20.144351438715567
9.9;21.8;93;303;20.51464665146369
12.6;21.9;91;446;22.60552194477854
13.7;24.4;69;636;25.92378432397268
13.4;24.8;64;542;25.178432638517933
13.0;26.1;65;438;23.99160707599169
12.8;26.5;69;339;22.7349065202726
10.5;24.4;84;6;18.10317646235217
11.3;21.4;86;6;18.154779608440748
12.4;19.4;88;5;18.255635202327554
13.9;18.1;90;5;18.445813885747704
15.0;17.7;92;5;18.556806547835528
15.1;18.0;92;5;18.57660305316861
15.0;17.4;90;5;18.663575444411602
15.2;18.2;90;5;18.703168455077765
15.1;18.9;89;5;18.73675639803272
15.4;19.8;90;61;19.310437285000937
15.9;21.6;92;287;21.59362832852034
17.4;22.0;82;550;25.09046932826467
16.5;23.8;75;774;27.556695195311224
16.1;24.4;68;727;27.374758106547315
16.7;25.0;61;507;25.637073272338103
16.4;27.1;60;429;24.840376884947492
15.5;25.6;65;372;23.817473208051545
14.9;22.5;76;5;19.39116121511104
14.6;16.7;93;5;18.424236078215163
14.5;16.6;92;5;18.45782402117012
14.4;16.6;91;5;18.491411964125074
13.8;16.5;91;5;18.372632932126585
12.7;17.6;90;5;18.208255821750726
12.1;18.8;88;5;18.19624568632831
11.5;19.4;87;66;18.74921226287995
10.9;20.3;86;310;21.157262320217892
10.7;20.1;84;317;21.29539768353493
10.5;20.6;81;415;22.409390701432642
12.0;24.1;70;566;24.824264510950997
14.3;26.8;68;454;24.25100139167393
14.3;25.8;68;387;23.571817822205723
14.0;25.5;70;319;22.716338771961183
14.2;22.9;70;6;19.583029435708713
13.8;16.6;100;5;17.89217289753425
13.7;16.6;100;5;17.87237639220117
13.5;16.9;100;5;17.832783381535005
13.2;17.2;100;5;17.77339386553576
13.6;18.4;97;5;18.0127332317322
14.1;18.8;90;5;18.485406896413867
13.9;19.9;88;65;19.160806874384857
13.8;20.4;91;307;21.434027528834022
15.1;21.4;91;392;22.553032895250613
14.5;22.3;90;399;22.558597788947285
12.2;24.8;86;525;23.594086552766825
12.2;24.7;85;369;22.066088361696053
12.6;26.4;93;333;21.35326434148743
12.9;27.1;93;407;22.16279690436201
13.4;24.9;93;6;18.196815082419203
12.4;23.9;96;6;17.838696684224274
13.0;16.2;100;5;17.733800854869596
11.9;16.0;100;5;17.5160392962057
12.8;16.2;99;5;17.74759229249147
12.6;17.8;99;5;17.707999281825305
15.5;21.8;100;330;21.52326065352749
14.6;22.9;100;349;21.537696401349095
15.4;23.4;100;354;21.74675378501884
13.6;24.5;100;328;21.126852915796903
12.8;25.5;100;320;20.887384327524103
11.9;26.3;100;311;20.61798216571721
11.8;27.0;100;303;20.51708911477598
11.3;24.7;100;6;17.407397332408227
9.4;24.0;98;5;17.127895559454732
8.5;22.0;95;5;17.10988035632111
8.6;19.6;94;5;17.18306130994223
9.2;18.0;94;5;17.301840341940718
6.5;16.0;95;5;16.713950249659476
8.6;16.0;96;5;17.076292413366154
9.8;16.0;96;5;17.313850477363136
9.8;15.9;96;5;17.313850477363136
9.7;17.4;96;5;17.294053972030053
9.9;18.5;96;5;17.333646982696216
10.1;19.6;94;65;18.088232981999532
10.2;20.2;93;302;20.563899099261917
10.7;20.3;93;330;20.94671953555583
11.5;20.9;89;360;21.62274141740317
